                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8497,                 2.2302,                 1.0427,                0.27475,                0.16924,                0.13303,                0.07258,                 1.6619,                 1.5035,                0.98262,             0.00023785,             0.00023785,             0.00023785
                      2,                 1.7096,                 1.5973,                  1.007,                0.24395,                0.21101,                0.17355,                 0.0958,                 1.6293,                 1.3765,                 0.9691,             0.00046643,             0.00046643,             0.00046643
                      3,                 1.6792,                  1.499,                 0.9941,                0.28179,                0.22711,                0.19734,                0.10721,                 1.5853,                 1.3239,                0.96749,             0.00068558,             0.00068558,             0.00068558
                      4,                 1.6596,                 1.4437,                0.98719,                0.29434,                0.23376,                0.19953,                0.11245,                 1.5454,                 1.2778,                 0.9642,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.6374,                 1.3911,                0.98163,                0.32153,                0.24256,                0.21765,                0.12104,                 1.5429,                 1.2358,                0.95507,             0.00067159,             0.00067159,             0.00067159
                      6,                  1.605,                 1.3405,                0.97489,                0.31049,                0.24339,                0.21934,                0.12465,                 1.5045,                 1.2137,                0.94967,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.5894,                 1.3159,                0.96957,                0.34005,                0.25924,                0.23828,                  0.134,                 1.4917,                 1.1899,                 0.9461,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.5704,                 1.2826,                0.96519,                 0.3432,                0.26825,                0.24769,                0.14069,                 1.4812,                 1.1677,                0.94416,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.5651,                 1.2699,                0.96414,                0.34765,                0.26157,                0.24826,                   0.14,                 1.4771,                 1.1575,                0.94137,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.5612,                   1.26,                0.96022,                0.33662,                0.27172,                0.24853,                0.13984,                 1.4813,                  1.165,                0.94104,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.5474,                 1.2372,                0.95825,                0.34776,                0.27564,                0.25737,                0.14539,                  1.465,                 1.1422,                0.94082,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.5409,                 1.2251,                0.95728,                 0.3672,                0.28011,                0.26272,                0.14901,                 1.4567,                 1.1377,                0.93416,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.5415,                 1.2269,                0.95601,                0.34602,                 0.2756,                0.25789,                0.14483,                 1.4748,                 1.1371,                0.93696,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.5292,                  1.208,                0.95373,                0.36345,                0.28351,                 0.2657,                0.14999,                 1.4479,                 1.1175,                0.93432,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.5256,                 1.1937,                0.94998,                0.35911,                0.28509,                0.26677,                0.15041,                 1.4557,                 1.1223,                0.93729,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.5125,                 1.1809,                0.95068,                0.36466,                0.29048,                0.27299,                0.15383,                  1.435,                 1.1074,                0.93093,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.5129,                 1.1784,                0.94996,                0.37067,                0.28344,                0.27374,                0.15538,                 1.4348,                 1.1018,                 0.9322,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.5071,                 1.1692,                0.94642,                0.36527,                0.29016,                0.27448,                 0.1567,                 1.4343,                 1.0938,                0.93022,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.5005,                 1.1599,                0.94508,                0.37804,                 0.2932,                0.27918,                0.15756,                  1.428,                 1.0862,                0.93071,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.4987,                 1.1545,                0.94504,                0.38288,                 0.2885,                0.27675,                0.15887,                 1.4199,                 1.0852,                 0.9302,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.4903,                 1.1486,                0.94245,                0.38334,                0.29259,                0.28482,                0.16309,                 1.4102,                 1.0757,                0.92628,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.4933,                  1.144,                0.94187,                0.38189,                0.29543,                0.27916,                0.16112,                 1.4053,                  1.073,                0.92701,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.4893,                 1.1391,                0.94126,                0.37447,                0.29821,                0.28404,                0.16209,                 1.4129,                 1.0723,                0.92651,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.4794,                 1.1255,                0.93969,                0.39951,                0.29562,                0.28948,                0.16601,                 1.4049,                 1.0632,                0.92569,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.4744,                 1.1212,                0.93928,                0.37865,                0.30394,                 0.2852,                0.16442,                 1.3948,                 1.0661,                0.92245,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.4677,                 1.1123,                0.93653,                 0.3905,                0.29745,                  0.288,                0.16544,                 1.3941,                  1.063,                 0.9205,             0.00037471,             0.00037471,             0.00037471
                     27,                 1.4632,                 1.1048,                0.93537,                0.40427,                0.30046,                0.29303,                0.16748,                 1.3981,                 1.0571,                0.92078,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.4646,                 1.1062,                0.93468,                0.39047,                0.30035,                0.29262,                0.16681,                  1.398,                 1.0494,                0.92211,             0.00034643,             0.00034643,             0.00034643
                     29,                 1.4539,                 1.0975,                0.93317,                0.38952,                0.30512,                0.29664,                0.17138,                 1.3876,                 1.0452,                0.91843,              0.0003323,              0.0003323,              0.0003323
                     30,                 1.4606,                 1.0967,                0.93271,                0.41277,                0.30323,                0.29982,                0.17032,                 1.3856,                  1.038,                0.92049,             0.00031816,             0.00031816,             0.00031816
                     31,                 1.4491,                 1.0872,                0.93085,                0.39159,                0.30678,                0.29928,                0.17149,                 1.3884,                 1.0419,                0.91984,             0.00030402,             0.00030402,             0.00030402
                     32,                 1.4499,                 1.0862,                0.93189,                0.39625,                0.30129,                0.29849,                0.17107,                 1.3846,                 1.0385,                0.91842,             0.00028988,             0.00028988,             0.00028988
                     33,                 1.4463,                 1.0834,                0.93379,                0.40184,                0.30542,                0.30089,                0.17289,                 1.3837,                 1.0381,                0.91881,             0.00027575,             0.00027575,             0.00027575
                     34,                 1.4438,                  1.075,                0.92981,                0.40487,                0.30938,                0.30278,                0.17525,                 1.3755,                 1.0285,                0.91729,             0.00026161,             0.00026161,             0.00026161
                     35,                 1.4319,                 1.0671,                0.92914,                0.41084,                0.30559,                0.30404,                0.17522,                 1.3794,                 1.0275,                0.91736,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.4382,                 1.0688,                0.92823,                0.40078,                0.30948,                0.30327,                0.17443,                 1.3763,                 1.0284,                0.91661,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.4216,                 1.0562,                0.92732,                0.41555,                0.30353,                0.30342,                0.17526,                 1.3716,                 1.0248,                0.91553,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.4322,                   1.06,                0.92546,                0.41117,                0.30713,                0.30557,                 0.1766,                 1.3774,                 1.0216,                0.91672,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.4227,                 1.0491,                0.92546,                0.41177,                0.30854,                0.30572,                0.17618,                 1.3694,                 1.0188,                0.91453,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.4261,                 1.0487,                0.92601,                0.42286,                0.30718,                0.30694,                0.17701,                 1.3689,                 1.0197,                0.91469,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.4138,                 1.0367,                0.92364,                0.40459,                0.30891,                 0.3016,                0.17298,                 1.3813,                 1.0287,                0.91753,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.3989,                 1.0161,                0.92049,                0.40331,                0.31112,                0.30196,                0.17305,                 1.3799,                 1.0254,                0.91774,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.3955,                 1.0135,                0.92001,                0.41112,                0.30639,                0.30209,                  0.174,                 1.3794,                 1.0246,                0.91679,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.3951,                 1.0112,                 0.9195,                0.40923,                0.31405,                0.30458,                0.17539,                 1.3743,                 1.0195,                0.91612,             0.00012024,             0.00012024,             0.00012024
                     45,                  1.386,                0.99933,                 0.9172,                0.41778,                0.30873,                0.30523,                0.17585,                 1.3728,                 1.0172,                0.91474,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.3845,                0.99737,                0.91542,                0.41122,                0.31205,                0.30614,                0.17659,                 1.3745,                 1.0156,                0.91546,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 1.3787,                0.99202,                0.91678,                0.41554,                0.30913,                0.30546,                0.17625,                 1.3728,                 1.0138,                0.91472,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                   1.38,                0.99099,                0.91554,                0.41566,                0.30959,                0.30749,                0.17741,                 1.3704,                 1.0113,                0.91439,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 1.3813,                0.99058,                0.91512,                0.42083,                0.31046,                0.30909,                0.17823,                 1.3687,                 1.0116,                0.91435,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.3693,                0.97982,                0.91519,                0.41329,                0.31196,                 0.3073,                0.17753,                 1.3676,                   1.01,                0.91426,             3.5414e-05,             3.5414e-05,             3.5414e-05
